city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Solingen,DE,Clouds,overcast clouds,04d,282.68,280.61,280.53,284.33,1002.0,63.0,3.93,37.0,99.0,1648662195.0,1648617125.0,1648663200.0,7200.0,Stöcken
Darmstadt,DE,Clouds,few clouds,02d,282.68,280.52,281.68,284.05,1001.0,70.0,4.12,60.0,20.0,1648662195.0,1648616809.0,1648662764.0,7200.0,Darmstadt
Heidelberg,DE,Clear,clear sky,01d,282.73,281.8,281.91,283.11,1000.0,76.0,2.06,60.0,0.0,1648662196.0,1648616814.0,1648662730.0,7200.0,Heidelberg
Herne,DE,Clouds,overcast clouds,04d,282.01,282.01,280.94,283.97,998.0,62.0,0.45,270.0,100.0,1648662196.0,1648617075.0,1648663185.0,7200.0,Herne
Neuss,DE,Clouds,few clouds,02d,283.85,282.59,282.45,284.95,1001.0,62.0,4.12,30.0,20.0,1648662197.0,1648617217.0,1648663295.0,7200.0,Neuss
Regensburg,DE,Clouds,overcast clouds,04n,282.83,281.34,281.9,283.25,999.0,85.0,2.89,318.0,100.0,1648662197.0,1648616023.0,1648661902.0,7200.0,Regensburg
Paderborn,DE,Clear,clear sky,01d,281.03,279.06,279.8,281.69,1002.0,62.0,3.09,350.0,0.0,1648662198.0,1648616695.0,1648662822.0,7200.0,Paderborn
Ingolstadt,DE,Rain,light intensity shower rain,09n,282.52,282.52,281.1,283.1,998.0,84.0,0.51,200.0,75.0,1648662198.0,1648616191.0,1648662049.0,7200.0,Ingolstadt
Furth,DE,Clouds,broken clouds,04n,279.48,276.58,278.73,280.38,999.0,90.0,4.12,310.0,75.0,1648662199.0,1648616265.0,1648662185.0,7200.0,Fürth
Wurzburg,DE,Clouds,overcast clouds,04d,280.48,278.15,280.42,281.09,1002.0,89.0,3.5,51.0,100.0,1648662199.0,1648616506.0,1648662454.0,7200.0,Wurzburg
Heilbronn,DE,Clouds,overcast clouds,04d,281.92,280.07,281.32,282.54,1001.0,93.0,3.19,44.0,100.0,1648662200.0,1648616705.0,1648662596.0,7200.0,Heilbronn
Ulm,DE,Clouds,overcast clouds,04d,281.7,281.7,280.09,282.91,997.0,88.0,0.76,316.0,100.0,1648662012.0,1648616551.0,1648662379.0,7200.0,Ulm
Pforzheim,DE,Clouds,overcast clouds,04d,281.4,280.97,281.07,282.18,1001.0,95.0,1.36,10.0,100.0,1648662201.0,1648616838.0,1648662709.0,7200.0,Alter Göbricherweg
Wolfsburg,DE,Clouds,broken clouds,04d,279.03,276.65,278.66,279.83,1003.0,70.0,3.09,80.0,75.0,1648662201.0,1648616177.0,1648662371.0,7200.0,Wolfsburg
